Format,Extension,Catégorie,Action de préservation proposée,Niveau de préservation,Nombre total de fichiers
Adobe Flash,.swf,12. Code source et logiciel,À réviser,Base,1
B Source Code File,.b,12. Code source et logiciel,Fichier original,Complet,2
Back Up File,.bak,12. Code source et logiciel,Fichier original,Surveillance,1
Batch file (executable),.bat,12. Code source et logiciel,Fichier original,Complet,31
Binary File,.bin,12. Code source et logiciel,Fichier original,Base,"1,077"
C Source Code File,.c,12. Code source et logiciel,Fichier original,Complet,396
C/C++ Header File,".h, .hpp, .hxx",12. Code source et logiciel,Fichier original,Complet,"45,130"
C++ Source Code File,".cpp, .cxx, .cc",12. Code source et logiciel,Fichier original,Complet,438
Data File,.dat,12. Code source et logiciel,Fichier original,Base,"10,392"
DataFlex Query Tag Name,.tag,12. Code source et logiciel,Fichier original,Base,2
Executable and Linkable Format,.elf,12. Code source et logiciel,Fichier original,Base,524
Fortran,".f90, .f",12. Code source et logiciel,Fichier original,Complet,"7,965"
Generic Library File,.lib,12. Code source et logiciel,À réviser,Base,3
GROK input file,.grok,12. Code source et logiciel,À réviser,Base,20
Java Class File,.class,12. Code source et logiciel,Fichier original,Complet,2
Java Language Source Code File,.java,12. Code source et logiciel,Fichier original,Complet,3
JavaScript file,.js,12. Code source et logiciel,Fichier original,Complet,"3,904"
Jupyter Python Notebook,.ipynb,12. Code source et logiciel,Fichier original,Surveillance,115
Log File,.log,12. Code source et logiciel,Fichier original,Complet,"10,541"
Mach-O,no extension,12. Code source et logiciel,Fichier original,Base,7
MATLAB Script File,.m,12. Code source et logiciel,Fichier original,Base,995
Microsoft Windows Shortcut,.lnk,12. Code source et logiciel,Fichier original,Base,8
MS-DOS Executable,.exe,12. Code source et logiciel,Fichier original,Base,1
Perl Script,.pl,12. Code source et logiciel,Fichier original,Complet,"1,888"
PEST Template File,.tpl,12. Code source et logiciel,Fichier original,Base,16
PEST Instruction File,.ins,12. Code source et logiciel,Fichier original,Base,16
PEST Control File,.pst,12. Code source et logiciel,Fichier original,Base,8
PHP Script Page,.php,12. Code source et logiciel,Fichier original,Complet,5
Portable Grey Map - Binary,".pgmb, .pgm",12. Code source et logiciel,Fichier original,Base,2
Portable Pixel Map - Binary,".ppm, .ppmb",12. Code source et logiciel,Fichier original,Base,7
Python Compiled File,.pyc,12. Code source et logiciel,Fichier original,Complet,735
Python Source Code File,.py,12. Code source et logiciel,Fichier original,Complet,"1,690"
R Program File,.r,12. Code source et logiciel,Fichier original,Complet,"4,100"
Typescript,.ts,12. Code source et logiciel,Fichier original,Complet,2
Unisys (Sperry) System Data File,.sdf,12. Code source et logiciel,À réviser,Base,4
VBScript (VBS) File,.vbs,12. Code source et logiciel,À réviser,Base,2
Windows Portable Executable,".exe, .dll, .sys",12. Code source et logiciel,Fichier original,Base,44
